		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	LABELS	2 cm_arithmetic	2 cm_word_compute	2 cm_data	2 cm_fraction	2 cm_geometry	2 cm_number	2 cm_patterns	2 ch_sentence	2 ch_retrieve	2 ch_inference	2 ch_interpret
												
treat	Treatment	0.12	0.070	0.14	0.14	0.13	0.16	0.064	0.057	0.045	0.084	0.073
		(0.028)	(0.037)	(0.034)	(0.045)	(0.062)	(0.048)	(0.042)	(0.059)	(0.025)	(0.043)	(0.015)
treat_fem	Treatment * Female	-0.052	0.0029	-0.13	-0.087	0.029	-0.014	0.059	-0.016	-0.0015	-0.024	-0.026
		(0.031)	(0.040)	(0.043)	(0.053)	(0.069)	(0.051)	(0.055)	(0.060)	(0.026)	(0.047)	(0.027)
m_theta_mle1	1 m_theta_mle	0.14	0.11	0.081	0.093	0.052	0.068	0.097				
		(0.0082)	(0.010)	(0.015)	(0.012)	(0.015)	(0.012)	(0.015)				
h_theta_mle1	1 h_theta_mle								0.13	0.14	0.15	0.066
									(0.017)	(0.0074)	(0.011)	(0.013)
Constant	Constant	0.64	0.54	0.41	0.31	0.38	0.42	0.51	0.65	0.56	0.51	0.31
		(0.024)	(0.030)	(0.043)	(0.055)	(0.031)	(0.025)	(0.033)	(0.039)	(0.030)	(0.047)	(0.023)
												
Observations		537	537	537	537	537	537	537	539	539	539	539
R-squared		0.360	0.231	0.116	0.162	0.097	0.136	0.125	0.186	0.381	0.310	0.138
Number of strata		19	19	19	19	19	19	19	19	19	19	19
Robust standard errors in parentheses												
